PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0.0,1.0,1.0,"Braund, Mr. Owen Harris",male,0.3394149103491664,0.0,,A/5 21171,0.05308464849354376,B96 B98,S
0.0011235955056179776,1.0,0.0,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,0.5910663730732935,0.0,,PC 17599,0.1473662635786022,C85,C
0.0022471910112359553,1.0,1.0,"Heikkinen, Miss. Laina",female,0.40232777603019815,0.0,,STON/O2. 3101282,0.06415249026439844,B96 B98,S
0.0033707865168539327,1.0,0.0,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,0.5438817238125196,0.0,,CA. 2343,0.8048780487804879,C123,S
0.0044943820224719105,1.0,1.0,"Allen, Mr. William Henry",male,0.5438817238125196,0.0,,CA. 2343,0.0662020905923345,B96 B98,S
0.0056179775280898875,1.0,1.0,"Moran, Mr. James",male,0.43378420887071406,0.0,,CA. 2343,0.07289690510350481,B96 B98,Q
0.006741573033707865,1.0,0.0,"McCarthy, Mr. Timothy J",male,0.8427178357974205,0.0,,CA. 2343,0.7845870055339208,E46,S
0.007865168539325843,1.0,1.0,"Palsson, Master. Gosta Leonard",male,0.024850581944007553,0.0,,CA. 2343,0.2797704447632712,B96 B98,S
0.008988764044943821,1.0,1.0,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,0.4180559924504561,0.0,,CA. 2343,0.11675835212133634,B96 B98,S
0.010112359550561797,1.0,0.5,"Nasser, Mrs. Nicholas (Adele Achem)",female,0.21358917898710286,0.0,,CA. 2343,0.4272728018036483,B96 B98,C
0.011235955056179775,1.0,1.0,"Sandstrom, Miss. Marguerite Rut",female,0.056307014784523435,0.0,,PP 9549,0.20803443328550933,G6,S
0.012359550561797753,1.0,0.0,"Bonnell, Miss. Elizabeth",female,0.9056307014784524,0.0,,CA. 2343,0.3695429391268703,C103,S
0.01348314606741573,1.0,1.0,"Saundercock, Mr. William Henry",male,0.3079584775086505,0.0,,A/5. 2151,0.0662020905923345,B96 B98,S
0.014606741573033709,1.0,1.0,"Andersson, Mr. Anders Johan",male,0.6067945894935515,0.0,,CA. 2343,0.44701783152285307,B96 B98,S
0.015730337078651686,1.0,1.0,"Vestrom, Miss. Hulda Amanda Adolfina",female,0.21358917898710286,0.0,,CA. 2343,0.06299159663865546,B96 B98,S
0.016853932584269662,1.0,0.5,"Hewlett, Mrs. (Mary D Kingcome) ",female,0.8584460522176786,0.0,,CA. 2343,0.19655667144906747,B96 B98,S
0.017977528089887642,1.0,1.0,"Rice, Master. Eugene",male,0.024850581944007553,0.0,,CA. 2343,0.411764705882353,B96 B98,Q
0.019101123595505618,1.0,0.5,"Williams, Mr. Charles Eugene",male,0.43378420887071406,0.0,,CA. 2343,0.1473662635786022,B96 B98,S
0.020224719101123594,1.0,1.0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,0.4809688581314879,0.0,,CA. 2343,0.2293502766960443,B96 B98,S
0.021348314606741574,1.0,1.0,"Masselmani, Mrs. Fatima",female,0.43378420887071406,0.0,,CA. 2343,0.05267472842795654,B96 B98,C
0.02247191011235955,1.0,0.5,"Fynney, Mr. Joseph J",male,0.5438817238125196,0.0,,CA. 2343,0.3605246976839517,B96 B98,S
0.02359550561797753,1.0,0.5,"Beesley, Mr. Lawrence",male,0.5281535073922617,0.0,,CA. 2343,0.1473662635786022,D56,S
0.024719101123595506,1.0,1.0,"McGowan, Miss. Anna ""Annie""",female,0.22931739540736082,0.0,,CA. 2343,0.06586103709776593,B96 B98,Q
0.025842696629213482,1.0,0.0,"Sloper, Mr. William Thompson",male,0.43378420887071406,0.0,,CA. 2343,0.5162943226070916,A6,S
0.02696629213483146,1.0,1.0,"Palsson, Miss. Torborg Danira",female,0.1192198804655552,0.0,,CA. 2343,0.2797704447632712,B96 B98,S
0.028089887640449437,1.0,1.0,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,0.5910663730732935,0.0,,CA. 2343,0.4488624718179955,B96 B98,S
0.029213483146067417,1.0,1.0,"Emir, Mr. Farred Chehab",male,0.43378420887071406,0.0,,CA. 2343,0.05267472842795654,B96 B98,C
0.03146067415730337,1.0,1.0,"O'Dwyer, Miss. Ellen ""Nellie""",female,0.43378420887071406,0.0,,CA. 2343,0.06340151670424267,B96 B98,Q
0.03258426966292135,1.0,1.0,"Todoroff, Mr. Lalio",male,0.43378420887071406,0.0,,CA. 2343,0.06367370362779258,B96 B98,S
0.033707865168539325,1.0,0.0,"Uruchurtu, Don. Manuel E",male,0.6225228059138094,0.0,,PC 17601,0.3887403156384505,B96 B98,C
0.0348314606741573,1.0,0.0,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,0.43378420887071406,0.0,,PC 17569,0.1473662635786022,B78,C
0.035955056179775284,1.0,1.0,"Glynn, Miss. Mary Agatha",female,0.43378420887071406,0.0,,CA. 2343,0.06128304980528797,B96 B98,Q
0.03707865168539326,1.0,0.5,"Wheadon, Mr. Edward H",male,0.43378420887071406,0.0,,C.A. 24579,0.10637425701988112,B96 B98,S
0.038202247191011236,1.0,0.0,"Meyer, Mr. Edgar Joseph",male,0.43378420887071406,0.0,,PC 17604,0.1473662635786022,B96 B98,C
0.03932584269662921,1.0,0.0,"Holverson, Mr. Alexander Oskar",male,0.6539792387543253,0.0,,CA. 2343,0.7868415658946505,B96 B98,S
0.04044943820224719,1.0,1.0,"Mamee, Mr. Hanna",male,0.43378420887071406,0.0,,CA. 2343,0.05274359499897519,B96 B98,C
